"ALB","DZA","AND","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BRA","BLZ","VGB","BRN","BGR","MMR","BDI","BLR","CMR","CAN","LKA","CHL","CHN","COL","COG","COD","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","ETH","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","DEU","GHA","GIB","GRC","GRL","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBY","LTU","MAC","MDG","MWI","MYS","MLT","MUS","MEX","MDA","MAR","OMN","NPL","NLD","ANT","NZL","NER","NGA","NOR","PAK","PAN","PNG","PER","PHL","POL","PRT","GNB","QAT","ROU","RUS","RWA","KNA","VCT","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWE","CHE","SYR","TJK","THA","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","SCG","ZMB","PRY","SLB","CXR","KIR","NRU","NCL","VUT","NFK","MHL","TON","WSM","KHM","MOZ","YEM","AGO","CAF","ATG","GRD","MLI","SPM","MNG","LCA","TGO","NIC","MDV","TCD","COM","BEN","GNQ","DJI","MRT","STP","ERI","LBR","MNP","TKL","PLW","CCK","COK","TUV","CPV","CYM","SOM","TCA","ABW","AIA"
"CAN",4.093,18.953,0,0,273.06,1401.972,1756.496,92.931,0,460.538,0,8.971,1078.549,63.506,0,2.397,0,1125.823,2.188,0,4.316,2.404,37.143,0,0,6.628,0,26.985,1450.547,252.293,805.866,0,0,10.477,18.231,771.608,12.288,327.279,439.164,0,10.293,17.103,0,5.912,0,0,127.322,672.249,21.062,0,0,0,2208.51,1.76,0,69.321,0,96.643,0,8.307,0,0,1570.872,39.609,142.92,0.558,43.846,53.658,532.786,805.651,4.708,1.97,3430.875,74.432,0,0,0,2408.31,3.763,11.495,0,3.542,0,0,26.188,0,0,0,206.054,7.43,0,558.214,0,14.513,19.832,0,647.325,0,713.759,72.228,29.026,103.87,48.81,3.971,2.055,52.106,175.454,116.539,28.188,0,0,144.122,402.297,21.876,0.887,0,56.619,188.816,0,0,410.966,795.759,129.452,71.494,85.785,270.481,0,425.398,0,0,607.677,134.155,0,0,258.323,8.026,126.539,36.586,88.416,0,0,0,0.831,23.956,7265.278,0,79937.756,0,367.729,0,219.585,5.98,0,1.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.352,30.897,39.532,36.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.881,0,0,0,0,0,28.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.342,0,0,0,0,16.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.066,0,353.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,35.944,0.759,0,0,0,1.978,0,0,0,0,0,36.246,0,3.924,0,0,0,0,0,0,0,0,11.68,0,0,0,2.181,0,0,34.883,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.926,0,0,0,0,3.128,0,0,0,0,0,0,0,0,6.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.285,0,0,0,0,0,0,0,0,0,0,0,0,152.111,0,41.608,0,6.557,0,0,0,0,27.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,52.223,33.656,0,1544.114,7218.501,2459.753,0,0,28.044,0,0,5827.222,0,0,0,0,3745.757,0,0,0,0,167.585,0,0,0,1950.011,62.412,78.718,0,46.483,0,0,2.468,8.695,0,69.064,408.316,935.61,0,0,0,0,1.326,0,0,301.759,19943.489,103.913,0,0,0,26824.909,0,0,636.694,0,0,0,0,0,0,55053.861,34,9.854,112.044,0.727,143.057,62.588,5172.867,2.606,0,49858.502,0,0,9.282,42.949,11474.389,3.042,0,0.646,180.58,0,0,0,59.864,0.938,0,693.037,8.707,4.471,396.145,0,134.345,0,0.779,4745.803,0,264.694,0,121.419,435.95,21.199,37.365,0,41.865,91.931,972.361,731.259,0,0,16,1013.952,0,0,0,367.734,1.224,0,0,24.205,3503.395,2.303,68.186,133.429,822.611,0,2377.135,0,0,377.226,1126.919,0,0,1140.871,3.041,85.744,162.388,1497.615,0,0,0,0,151.072,9194.967,36.955,154425.548,0,52.13,0,0,20.927,0,8.123,0,0,0,0,0,0,0,0,0,0,7.832,0,3.675,16.725,0,0,0,0,0,6.419,1.141,13.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,1.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.479,0,0,0,0,18.447,0,0,0,0,0,0,0,52.606,0,0,0,0,0,0,0,0,0,0,6.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855,1.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.675,0,0,0,45.66,0,0,115.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.256,0,0,0,15.103,0,0,0,0,198.787,0,0,0,0,3.322,0,0,0,0,0,0,0,0,5.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.636,0,0,0,0,0,0,0,0,0,0,0,28.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.133,0,0,88.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.941,0,9.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",1.747,0,0,0,0,0,5.771,0,0,0,0,0,0,0,0,0,129.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.712,0,0,0,0,0,0,0,0,2.502,0,0,56.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,3.07,0,0,0,0,323.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.511,0,0,0,0,1.329,0,0,101.105,0,0,0,0,0,0,0,0,0,0,0,0,434.3,10.461,0,0,0,0,1146.763,0,0,0,1688.329,0,0,1119.993,33.027,0,0,0,0,0,0,14.326,0,0,0,0,0,0,5.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27854.328,0,0,0,0,0,0,0,0,15.88,0,0,20.759,0,0,3.406,7.578,0,0,0,5346.682,3.58,0,0,0,15.82,0,311.591,137.685,0,1.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,27.183,15.707,0,0,0,0,0,3.266,0,0,0,23.216,0,0,0,0,0.884,0,0,0.81,0,16.435,0,0,2.267,0,0,0,0,18.178,0,0,0,0.7,0,0,0,0,0,0,0,0,137.365,0,0,0,0,568.08,0,0,0,0,0,0,0,0,0,0,5.119,0,0,0,0,88.81,3.073,0,0,0,0,0,0,0,0,0,0,0,0,0.921,0,2.5,0,0,0,0,0,0,8.702,0,0,0,0,13.992,0,0,0,0,0,0,0,0,0,0,38.509,0,0,0,0,120.459,0,0,0,0,0,0,0,10.249,4.538,372.19,18.794,9.511,0,0,3.312,0,0,5.575,28.856,0,0,7.721,0,0,110.7,0,0,0,7.333,0,10.17,30.76,0,17.362,0,0,0,0,16.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,2.093,0,0,55.16,415.994,1671.01,0,0,10.684,0,0,467.855,0,0,0,0,12.129,0,0,0,0,0,0,0,3.385,53.452,0,34.869,1696.039,31.194,0,0,4.028,203.861,0,13.181,64.981,0,0,0,0,6.936,0,0,0,866.752,3945.346,0,0,0,0,10783.928,0,0,32.983,13.632,0,0,0,0,0,29.297,192.183,47.702,0,19.862,271.242,569.043,1699.199,0,0,1532.266,0,0,0,0,646.883,84.187,39,0,0,0,0,18.517,14.78,0,0,3.657,0,131.332,125.212,0,9.254,0,0,1381.379,0,440.953,0,0,2673.999,0,0,0,35.74,0,638.082,177.885,0,0,48,43.697,0,0,0,4.822,0,0,0,18.516,433.277,3.257,0,26.536,227.323,0,540.943,0,0,7016.044,2111.882,0,0,173.74,0,150.952,0.503,99.954,0,0,1.76,0,3.016,2068.799,66.244,5410.713,0,0,0,33.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.458,0,0,0,0,0,0,0,0,0,0,4.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559,0,0,0,0,0,0,0,0,67.732,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,4.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663,0,0,0,0,0,0,0,0,0,0,0,0,31.107,0,281.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974,0,0,0,11.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.152,0,5.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.777,0,0,0,0,63.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542,0,0,0,0,0,0,0,0,0,36.462,0,0,2.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,10.634,1640.71,22.64,0,0,0,0,0,0.98,0,0,0,0,16.346,0,0,0,0,0,0,0,0,6.28,0,18.938,64.977,7.054,0,0,0,1.944,0,1.039,44.607,180.707,0,0,3.044,0,0,252.161,0,0,83.957,0,0,0,0,650.164,0,0,0,0,0,0,0,0,0,305.457,3.681,1.122,0,0,4.066,73.876,16.255,0,0,125.251,0,0,0,0,146.822,1.896,0,0,0,51.543,0,9.436,89.953,0,0,53.517,0,0,7.19,0,0,0,0,23.484,0,3.862,0,0,487.843,0,0,0,0,0,3.664,2.388,0,0,0,565.34,0,0,0,12.092,0,0,0,328.466,132.632,0,16.572,0,29.389,0,1.119,0,0,492.963,626.895,0,0,96.349,4.294,1.168,0,11.674,0,0,7.012,6.434,0,300.229,0,2539.24,0,0,0,4.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,1510.365,63.352,0,2049.77,1390.069,1524.334,0,7.231,34.396,0,0,6317.774,0,0,0,0,9132.369,0,0,19.739,0,55.308,0,24.429,72.959,1021.571,10.748,141.336,479.015,165.052,47.882,26.97,14.558,117.025,0,133.851,333.415,1632.897,0.675,0,0,0,754.582,16.647,0,555.29,0,634.663,192.099,8.208,69.426,60261.091,17.784,2.931,287.37,0,2.282,21.321,32.833,0,0,1250.934,215.619,7.943,115.162,247.618,283.086,406.366,15795.636,1362.448,0,292.569,0,0,34.006,0,1497.047,67.621,37,0,138.369,2.736,0,4.495,0,80.678,3.517,2635.718,23.907,233.995,1841.025,7.426,1197.108,0,0,26142.893,9.576,1491.187,52.376,22.866,875.36,16.611,0,0,8.325,26.649,14839.25,1394.332,0,1208.386,161.202,921.665,0,0,0,2943.86,193.482,0,0,612.694,1561.941,2.149,119.412,34.704,156.545,6.84,14928.166,0,0,660.185,3872.596,0,0,1346.602,0.97,1733.916,810.086,11117.432,113.158,1.563,5.276,2.149,298.431,14450.616,0,5808.531,255.217,115.505,0,1259.038,767,0,0,0,0,0,0,658.622,1.368,0,0,0,0,2.149,0,0,355.304,5.816,0,0,369.438,4.299,0,12.772,1.742,0,0,78.956,45.145,56.676,17.784,14.071,32.247,1.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.537,0,0,0,0,0.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
