"ALB","DZA","AND","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BRA","BLZ","VGB","BRN","BGR","MMR","BDI","BLR","CMR","CAN","LKA","CHL","CHN","COL","COG","COD","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","ETH","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","DEU","GHA","GIB","GRC","GRL","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBY","LTU","MAC","MDG","MWI","MYS","MLT","MUS","MEX","MDA","MAR","OMN","NPL","NLD","ANT","NZL","NER","NGA","NOR","PAK","PAN","PNG","PER","PHL","POL","PRT","GNB","QAT","ROU","RUS","RWA","KNA","VCT","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWE","CHE","SYR","TJK","THA","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","SCG","ZMB","PRY","SLB","CXR","KIR","NRU","NCL","VUT","NFK","MHL","TON","WSM","KHM","MOZ","YEM","AGO","CAF","ATG","GRD","MLI","SPM","MNG","LCA","TGO","NIC","MDV","TCD","COM","BEN","GNQ","DJI","MRT","STP","ERI","LBR","MNP","TKL","PLW","CCK","COK","TUV","CPV","CYM","SOM","TCA","ABW","AIA"
"DEU",7.948,234.781,13.816,418.616,3927.15,4377.987,52088.304,0,45.184,249.176,447.188,0,22544.17,0,0,11.96,166.782,8721.447,0,0,2.657,1784.077,32.559,0,667.128,6.546,5660.197,73.091,275.906,8088.651,242.74,0,7.973,33.829,941.835,0,130.198,9701.939,10645.61,0,0.664,23.789,18.232,0.664,284.612,0,7820.562,79319.528,24.285,23.577,91.608,0,0,50.416,0,2280.91,2,1.328,0,0,0,0,13486.839,4108.114,301.229,5411.45,1874.472,1500.159,2884.149,46658.201,2.657,1.442,33607.882,479.083,146.848,13.289,77.078,11777.702,435.228,402.566,14.618,257.814,113.183,60.466,188.709,55.222,7.387,0,4528.018,14.378,7.973,926.936,406.045,371.279,318.281,0,56024.49,0,441.496,0,22.12,5620.021,457.155,9.967,0,53.22,3728.683,10201.275,2678.647,0,433.235,530.144,9245.449,0.664,0,0,2778.99,0,0,0,4689.411,5607.253,1072.517,52.492,1371.874,2080.458,16.611,25214.68,9.248,0,28059.761,45408.777,281.071,0,4813.442,7.309,8206.881,213.757,3947.649,0,4.306,525.58,10.581,939.365,74367.118,55.535,146637.873,7.058,95.214,461.142,272.155,147.285,0,11.96,0,0,0,0,0.664,0,0,0,0,0,0,5.98,19.269,0,0,0,0,28.159,0,12.328,0,1.328,0,0,0,0,0,0,0,0,0,7.309,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.551,0,0,0,0,0,0,0,2.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",4.199,0,0,0,0,10.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.297,0,0,0,0,0,0,0,1.669,0,192.643,0,2.77,0,0,0,0,0,0,0,0,98.123,0.752,0,0,0,125.455,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,80.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.573,0,0,0,0,0,0,193.9,0,0,0,0,2.357,0,0,0,0,0,0,0,0,0,14.143,0,0,0,0,0,0,0,0,0,0,0,0,0,80.795,0,0,0,0,0,0.629,0,0,61.106,0,0,2.522,2.715,0,0,0,5.64,32.479,79.054,0,39.354,0,0,186.527,0,9.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1903.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,37.365,1.176,0,37.197,1314.525,24.585,0,45.77,34.133,0,0,149.729,19.523,0,0,0,667.22,0,0,0,0.645,25.341,0,0,0,122.087,58.827,199.112,15850.843,115.738,2.585,15.515,1.2,19.62,0,49.911,12.674,33.161,0,0,3.923,0,0,0.566,0,228.591,1156.569,26.112,0,0,0,2743.955,6.335,0,328.794,0,1.509,0,0,0,0,0,18.915,15.487,31.216,0,42.706,4089.976,285.186,0,0,3579.201,0,21.204,8.921,0,769.765,678.664,0,0,545.361,17.583,0,3.199,686.041,0,0,3529.944,2.844,10.636,16.009,0,489.851,0,16.291,16459.089,2.844,398.125,0,107.572,114.811,165.625,111.968,3.103,21.979,1602.216,338.067,34.891,0,76.024,145,43.785,0,0,0,121.152,0,0,12.412,165.181,11191.416,0,1078.311,177.227,1442.805,4.654,1756.406,0,0,1442.192,177.343,54.82,0,8278.467,0,1425.853,46.354,661.72,0,0,6.071,0,144.316,46724.952,3.316,15785.391,0,15.263,0,80.291,10,0,12.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.042,0,0,0,0,0,0.617,0,0,0,0,0,5.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,144.639,93.757,0,0,0,0,0,1.739,0,0,0,0,2.423,0,0,0,5.713,0,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,28.876,0,0,0,0,0,0,1.042,0,1.416,9.551,0,0,0,0,299.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.973,0,0,61,0,0,0,0,1.565,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13.236,0,0,7.113,0,0,0,0,0,62.668,1.376,0,0,153.704,34.328,0,0,0,6.823,0,0,0,0,0,15,0,45.646,0,0,32.597,0,0,16.706,49.252,0,0,4.448,0,0,0,0,0,0,58.565,0,0,82.733,0,26.244,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,34.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.931,0,0,0,0,31.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.047,0,0,0,0,0,0,0,0,37.253,0,0,0,0,0,0,0,0,0,30.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,24.821,1.604,0,0,0,0,0,0,0,0,0,0,4.936,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1698.004,0.967,0,0,0,195.213,0,0,46.258,0,0,77.788,0,0,0,96.474,0,0,0,0,0,0,0,0,0,5204.344,0,0,0,0,443.271,0,0,0,0,0,0,0,0,0,0,54.168,1.27,0,33.822,0,21.207,0,0,163.2,0,0,0,0,0,0,0,0,0,83.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.271,0,0,0,118.403,0,655.234,0,0,0,0,0,0,219.164,0,0,0,0,0,0,0,0,0,129.738,0,3363.283,0,0,0,0,0,4.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,1.173,1264.43,227.687,0,0,0,0,0,2970.219,0,0,0,0,1349.514,0,0,0,0,0,0,0,0,130.619,0,0,1.467,0,0,0,50.431,41.871,0,78.775,2.542,198.588,0,0,0,0,0,0,0,178.649,2954.212,0,0,0,0,38592.14,0,0,27.427,0,0,0,0,0,0,51.711,131.128,8.57,0,0,0,196,2778.691,0,0,1581.446,0,0,0,28.585,28.378,0,0,0,38.115,0,0,0,0,0,0,0,0,0,47.527,0,167.604,0,0,847.309,0,22.682,0,0,91.155,0,2.323,0,4.044,0,0,28.861,0,0,1,79.688,0,0,0,0,0,0,0,81.928,77.415,0,21.164,6.289,1238.351,0,459.804,0,0,211.227,658.137,0,0,43.296,0,0,0,149.598,0,0,22.46,0,2.248,7057.997,0,5905.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,93.351,998.552,118.863,0,0,0,0,0,340.123,0,0,0,0,252.08,0,0,0,0,0,0,0,0,68.781,0,13.328,61.309,21.32,0,0,0,51.627,0,11.592,3.168,121.727,0,0,0,0,0,0,0,55,1449.882,0,0,0,0,2757.537,0,0,46.236,0,0,0,0,0,0,517.395,56.373,0.81,0,0,15.978,0,131.551,0,0,1910.272,0,0,0,0,145.603,0,0,0,0,45.073,0,0,0,0,0,55694,0,1.856,35.258,2.5,0,0,0,807.613,0,206.54,0,0,69.945,0,0,0,5,147.501,169.008,26.592,0,0,191.457,410.661,0,0,0,0,0,0,0,237.854,710.632,0,0,137.312,408.985,0,97.754,0,0,1261.07,122.085,0,0,382.325,0,0,0,1196.705,0,0,7.449,0,6,1165.617,0,7117.381,0,4.197,0,3.439,5,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",224.224,32.906,0,0,979.281,690.832,1188.627,0,37.099,4.259,0,27.721,1066.256,0,0,13.149,3.857,1840.785,0,0,0,5.337,0,0,3.252,35.868,226.021,0,329.33,847.448,288.415,0,0,2.781,540.984,26.435,414.902,210.138,339.098,0,0,71.669,0,76.901,41.789,0,532.492,8403.993,24.823,0,0,0,105861.017,3.558,0,3811.707,0,10.457,0,0,0,1.453,749.751,419.156,10.579,82.211,10.678,708.966,842.267,0,31.021,0,494.207,4.733,222.534,64.924,0,6972.304,487.554,0,0,451.905,15.05,452.66,21.169,0.765,3.477,0,375.515,247.766,71.806,208.643,0,168.592,5.096,0,1835.32,6.762,31.974,0,8.299,320.442,2.288,5.849,0,36.78,149.407,886.218,1132.286,0,143.612,464,410.013,0,0,0,295.897,1.465,8.836,72.441,497.636,1114.055,163.321,28.885,1285.271,323.757,12.091,4383.304,11.43,0,323.921,2444.822,80.399,0,488.155,127.676,418.11,182.482,1362.174,0,1.158,77.34,69.423,212.006,4552.592,5.322,4038.877,3.133,97.053,2.85,48.53,103.381,0,11.897,0,0,0,0,0,0,0,0,0,0,3.176,0,8.636,10.287,0.708,0,0,5.529,0,0,0,0,1.031,4.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528,0,0,0,0,0,0,0,0,31.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.733,0,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",0,87.622,41.346,0,2943.565,16274.395,5556.441,5.677,140.349,0.953,0,3.647,7148.343,0,0,36.983,10.307,12239.571,0,0,228.434,25.917,85.815,0,8.599,110.96,13644.694,368.757,790.922,55034.599,635.767,0,0,230.369,201.762,54.644,167.083,493.231,4599.016,0,6.927,20.714,19.2,67.239,161.069,10.436,25926.079,44814.906,391.691,1.587,0,0,170116.997,102.223,0,577.393,15.13,20.564,0,0,0,55.02,74827.074,1936.751,46.398,12506.031,345.257,3716.723,3802.022,12673.774,42.479,53.428,0,0,93.597,166.505,532.653,146006.597,520.582,0,65.852,76.123,26.256,0,9.805,34.891,7.201,0,28665.105,200.056,25.732,5628.054,0,143.368,432,129.977,41203.822,19.623,4298.394,0,103.059,1819.904,1362.507,2257.147,78.558,2437.748,15202.022,1179.59,707.608,0,370.319,48.287,1882.81,7.524,0,0,2443.697,0,6.144,0,6024.081,71233.797,39.591,1738.421,109.232,2692.346,271.117,5546.166,5.649,0,24055.663,4649.505,55.011,0,37499.559,7.11,4670.032,138.905,1431.137,0,4.73,706.534,132.785,1739.225,73847.521,213.23,561200.471,2.875,127.073,75.893,101.406,73.761,0,188.094,6.908,0,3.455,0,20.799,0,0,7.753,0,9.187,22.618,0,371.384,8.259,0,0,0,0,0,58.071,2.586,0,0,6.66,2.085,0,0,0,0,0,0,680.105,15.039,7.625,34.625,0,0,0,0,0,0,0,0,0,0
"KAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.729,0,0,356.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.219,9.641,0,0,0,0,105.013,0,0,0,112.38,0,0,0,0,0,3.653,0,0,0,4.866,0.874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.516,0,0,0,0,0,0,0,0,0,0,1.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.574,0,0,0,0,0,0,0,0,0,0,0,2.115,0,0,1.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
