"DZA","AND","ATG","ARG","AUS","AUT","BGD","BRB","BEL","BRA","VGB","BGR","MMR","BLR","CAN","LKA","CHL","CHN","COL","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","SLV","EST","FIN","FRA","GAB","DEU","GRC","GTM","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JPN","KEN","PRK","KOR","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MLI","MLT","MEX","MNG","MAR","NLD","ANT","NCL","NZL","NIC","NGA","NIU","NOR","PAK","PAN","PNG","PER","PHL","POL","PRT","ROU","RUS","KNA","LCA","SAU","SEN","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWE","CHE","THA","TTO","ARE","TUN","TUR","TKM","UGA","UKR","EGY","GBR","USA","BFA","URY","VEN","SCG","ZMB","BOL","ECU","SLB","COK","FJI","PYF","DJI","KIR","MDV","MUS","VUT","NFK","PCN","TON","LBN","CMR","COD","RWA","GHA","HTI","HND","OMN","PRY","SYR","GRL","JAM","LBR","BIH","JOR","KAZ","BTN","GMB","MOZ","TCD","GIN","SDN","TZA","AGO","BHR","CPV","CAF","COM","COG","BEN","ETH","KWT","MRT","NER","GNB","QAT","TGO","YEM","ALB","BDI","KHM","ERI","GIB","GUY","IRQ","LAO","LBY","MDA","NPL","TJK","MKD","UZB","GRD","VCT","SYC","SOM","BHS","GEO","NRU","WSM","AZE","KGZ","AFG","BRN","GNQ","ARM","MSR","SLE","BMU","BLZ","CYM","FSM"
"CZE",0,0,0,52.727,1.821,2.138,0,0,6.063,0,0,8.44,0,1.3,11.21,0,0,0,1.365,0,1.513,0,0,0,2.447,0,0,1.264,0,5.626,15.12,0,1343.688,0,0,0,2.056,0,0,0,0,0,8.911,0,0,0,0,5.699,0.727,1.096,0,0,0,0,0,0,0,10.732,0,0,2.185,0,0,0,0,0,0,0,0,0,0,2.688,0,15.825,0,1.099,0.644,0,0,0,0,0,0,230.41,0,1.273,0,0,84.379,6.479,30.982,0,0,0,0,0,0,0,12.512,3.142,44.376,45.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.016,0,0,0,0,0,0.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0.791,0,0,28.644,83.857,1203.452,0,0,185.427,2.595,0,2.122,0,0,299.804,0,25.85,0,0,0,0,0,0,83.827,0,0,0,0,1.146,400.531,840.632,0,913.963,16.802,0,56.692,79,16.904,0,0,380.323,190.551,677.108,0,14.323,0,0,9.707,19.788,0,0,0,0,0,231.933,0,71.234,14.403,0,2.556,418.636,0,0,4.972,0,0,0,292.599,0,0,0,2.434,0,101.773,40.829,41,0.803,0,0,28.824,0,119.656,9.726,8.429,0,3.698,14.018,0,934.612,1263.395,95.13,46.461,0,0,3.258,7.892,0,0,3.52,5.708,552.856,757.429,0,3.179,8.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534,0,0,0,2.169,0,0,0,0,0,1.419,0,0,0,7.192,0,72.027,15.425,10.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.422,0,0,0,0,0,0,0,0,0,0.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2531.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,2.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.868,0,0,0,0,0,0,0,0,0,0,0,0,9.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0.858,3.155,1.186,0,0,1.238,1.798,0,0,0,1.316,1.181,0,1.729,73.825,0,0,0,0,0.725,22.91,13.26,0,0,0,2381.61,0,302.432,0,89.624,118.711,0,26.764,2.579,1.082,0,0,0,18,0,0,7.592,18.555,0,34.697,52.771,2.327,0,0,0,0,62.062,0,0,4.096,0,0,26.227,0,0,0,0,0,0,11.548,0,0,0,0,0,62.977,0,0,100.087,0,0,0,0,1.871,3.431,0,0,0,0.625,0,0.622,114.199,16.39,50.124,0,0,0,0,0,13.73,0,0,45.719,216.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.732,4.335,10.253,2.975,15.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",86.009,0,0,51.298,304.207,197.266,0,0,838.372,1657.299,0,306.472,0,1.135,356.892,6.343,7.871,83.065,63.448,50.813,22.794,0,0,334.153,1303.969,0,305.444,0,0,1979.08,0,129.322,11450.365,47.697,0,127.299,45.723,65.77,16.66,0,63.677,69.926,2921.476,395.058,1258.177,229.304,0,72.599,0,0,18.1,0,70.621,0,310.767,451.26,0.547,362.327,0,217.947,6682.564,0,215.624,4.464,0,10.408,0,148.98,18.664,4.25,0,105.617,1.46,102.911,204.819,68.017,37.424,0,0,52.576,649.666,27.866,130.246,4.814,0,40.553,1002.193,0,1625.616,711.087,647.258,125.499,0,4.057,284.113,30.47,0,42.027,42.24,1.785,5821.429,7931.819,276.994,2.675,8.633,12,0,10.711,8.303,0,0,0,1636.316,6.329,0,0,8.467,0,0,0,0,52.551,20.957,0,0,75.143,0,4.057,377.991,0,0,0,0,0,0,0,0,0,109.736,0.811,15.418,121.413,2.596,168.302,44.145,3.245,16.716,6.491,24.344,4.382,349.796,65.271,0.973,83.583,13.419,2.596,12.172,12.072,41.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",12.171,0.549,0,145.671,809.402,22644.479,4.354,0,9683.281,1455.432,0,87.479,0.544,101.773,1699.911,23.172,10.885,9122.962,25.304,4.954,117.731,3.758,8.671,7562.464,6179.558,0,0,1.911,16.988,6316.954,40418.635,20.702,0,676.144,5.909,1115.678,10600.492,8.699,116.176,4.231,3798.416,1503.323,39686.231,1.366,2497.071,271.936,0,217.331,23.497,67.051,63.458,0,0,0,34429.006,95.397,118.148,379.031,16.453,417.226,13751.599,78.916,0,46.079,0,230.258,0,2740.391,13.606,14.437,26.123,20.773,47625.411,1797.914,8807.007,200.256,984.251,0,0,397.359,263.593,2304.666,1911.06,981.608,1.632,1976.367,1293.94,3.809,14305.429,7035.558,15990.336,1014.61,3.164,125.721,145.202,1161.381,0.549,185.044,101.097,78.083,26188.951,16333.712,24.941,4.016,14.744,47.706,6.269,13.606,3.42,0,0,0,0,0,0,0,1.152,0,0,0,0,10.8,10.991,0,0,20.229,0,4.716,0,1.839,3.809,0,1.892,5.986,7.619,32.11,8.708,0,0,0,0,3.809,32.11,15.239,1.632,2.721,0,7.619,0,0,1.088,29.284,2.177,23.947,73.86,5.986,0,15.774,22.858,2.721,61.223,6.531,42.451,1.632,0.544,3.809,0.544,57.69,2.517,10.34,1.632,8.473,1.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,2.37,1.137,0,0,0,0,0,0,9.682,0,0,0,0,0,0,0,0,0,0,20.287,52.083,0,0,0,0,0,0,0,0,1.06,0,0,0,6,0,0,0,0,1,306.214,0,0,0,0,0,0,0,0,0,0,0,2.33,0,2.943,0,0,0,4.831,0,0,0,0,0,0,0,0,0,0,0,0,0,47.184,3.667,0,0,0,0,0,0,0,0,0,0,0,0,35.527,0,83.838,24.765,0,0,0,0,0,0,0,0,4.401,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,157.749,560.5,310.673,0,1.809,68.018,483.879,0,77.402,0,2,1078,3.798,1.073,18601.764,16.239,0.828,0,0,0,33.057,409.521,0,0,0,71.559,160.643,327.872,0,3187.321,4.979,0,0,122.818,0,3.004,0,61.221,489.369,529.899,0,25856.733,0,0,1571.699,0.566,0,0,753.182,0,0,4558.497,0,0,354.274,0,0,320.587,0,0,97.005,0,0,0,12.301,11.858,0,0,2.345,955.527,43.813,4.43,4.016,149.858,0,0,8.661,0,235.572,4467.582,7.747,34.845,32.454,668.518,0,226.508,359.47,86.707,468.696,1.99,92.062,0,301.258,0,1.381,0.719,9.907,3896.807,28255.531,0,9.727,12.331,15.209,0,0,0.704,0,0,0,0,0,0,0,1.508,0,0,0,0,7.251,0,0,0,0,0,0,0,0,1.804,0,0,0,0,17.529,0,0,0,0,0,0,0,0,42.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0.619,0,93.828,0,0,32,1.922,0,2.122,0,0,44.312,0,0,4.662,0,0,0,0,3.717,214.376,16.338,0,0,0,1,3.685,84.782,0,763.363,13.913,0,0,0,0,0,0,17.168,1,4.22,0,698.12,0,0,0,0,0,0,0,0,0,0,0,0,75.835,0,0,7.247,0,0,0,0,0,0,0,0,0,0,0,0,0,1.009,8.406,0,0,0,0,0,0,33.807,2,0,10.842,4.606,0,0,2.782,5.666,5.27,0,0,0,0,0,0,1.729,0,5.964,1214.899,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,1.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.157,0,0,2.052,0,0,0,0,0,0,0,0,0,2.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,2.084,33.676,0,0,0,0,19.835,0,0,0,0,6.794,0.711,0,39.55,0,0,0,0,0,0,0,0,0,0,0,2.095,55.996,0,572.656,0,0,184.546,225,0,0,0,0,0,0,1.57,4353.987,0,0,550.029,0,0,0,0,0,0,239.896,0,0,84.057,0,0,11.639,0,0,0,0,0,0,1.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.229,0,1.379,2.754,0,0,0.89,0,0,257.286,0,0,0,0,0,0,1.629,0,0,552.15,0,0,6.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949,0,3.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",1.41,0,0,0,1.028,0,0,0,0,1.928,0,1.061,0,0,11.029,0,0,0,0,0,0,0,0,275.954,0,0,0,0,0,1.854,168.454,0,88.833,1.276,0,5.932,87,1.127,0,0,0,47,280.22,0,4.034,1.342,0,2.146,0,0,0,0,0,0,2.637,0,0,5.224,0,0,4.831,0,0,1.13,0,0,0,43.56,0,0,0,0,0,0,0,0,5.535,0,0,0,0,0.794,1.482,2.147,0,1.894,2.248,0,6.826,242.302,116.233,24.03,0,0,0,0,0,0,0,0,86.116,279.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.623,4.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,112.294,0,0,0,7.382,11.062,0,0,0,0,0,0,32.449,3.419,0,0,0,0,0,0,0,0,0,0,0,0,51.451,0,151.873,5.498,0,0,2,0,0,0,0,0,305.493,1.481,13.553,0,0,0,0,0,0,0,0,0,0,0,0,7.513,0,0,72.478,0,0,0,0,0,0,0,0,0,0,0,0,877,0,0,0,0,0,0,0,0,0,36.407,0,0,2.814,0,22.435,1.384,3.761,0,0,0,0,0,0,10.681,0,0,31.663,400.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",5.647,0,0,90.482,63.096,336.007,0,0,260.556,98.237,0,9.746,0,1.899,85.438,0,33.719,23.799,27.201,6.444,48.722,127.49,5.802,75.347,149.064,0,0,0,14.627,145.557,4358.358,0.975,3246.787,384.428,8.472,229.215,35.32,1.116,3.742,5.757,106.192,62.464,0,3.458,56.134,96.756,0,15.698,0.888,0.761,3.001,0,40.751,2.215,29.818,0,5.806,131.998,0,221.415,1546.104,0,0.929,8.815,0,177.644,0,294.147,0,0,0,7.799,10.932,76.171,177.412,34.889,8.603,0,0,4.051,481.568,36.939,32.011,18.595,0.878,61.286,68.008,88.916,3164.791,363.278,224.187,37.574,3.428,48.198,78.832,141.506,0,6.512,18.302,60.135,874.053,1374.094,1.386,17.339,60.045,8.742,0,0,17.97,0,0,0,10.274,0,0,0,5.067,0,0,0,0,29.293,8.222,0,0,1.632,2.031,0,0,0,17.436,0,1.022,0,0,7.853,0,0,3.609,0,0,0,0,6.047,5.315,0,0,8.443,0,0,2.15,17.547,2.585,0,0,7.713,0.699,3.933,0,2.596,0,0,1.376,0,0,0,0,0,0,0,0,1.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.715,16.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",9.291,0,0,202.123,1233.536,1540.145,1260.536,10.742,39414.25,6931.706,0,68.968,0,26.6,24267.322,39.173,67.07,152467.907,3.117,3.017,29.192,20.692,32.084,815.086,2048.661,0,0,0,2562.818,10005.885,21719.245,0,87877.916,12.972,0,217598.683,3619.591,5.297,26182.866,48.733,93.586,5651.315,9372.226,6.111,0,50.404,63.711,174262.181,0,0,6.838,2367.331,4.324,0,74181.331,0,12.072,6334.574,99.041,252.753,6435.086,0,0,300.57,0,11.242,0,1231.588,7.07,0,0,20.608,45913.552,1032,164.399,50,349.816,0,0,9.025,0,655.183,118653.889,52.144,1722.732,179.99,300.884,0,3156.437,11625.631,3562.239,44333.683,2.3,44.108,30.529,70.803,0,0,100.61,76.289,45493.681,347348.714,8.756,3.552,8.087,8.884,5.305,0,0,0,0,0,8.829,0,0,0,1.012,0,0,0,0,3.158,1.471,0,0,0,0,0,3.061,1.121,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,4.242,0,0,0,0,0.905,0,13.464,0,0,0,0,0,134.581,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
