"ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHR","BGD","BRB","BEL","BMU","BRA","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CAF","LKA","CHL","CHN","COL","COG","COD","CRI","HRV","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","EST","FIN","FRA","PYF","GAB","DEU","GRC","GRL","GTM","GIN","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LBN","LVA","LTU","MAC","MDG","MWI","MYS","MLI","MLT","MUS","MEX","MDA","MAR","OMN","NPL","NLD","ANT","NZL","NIC","NER","NGA","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","ROU","RUS","RWA","SHN","KNA","LCA","STP","SAU","SEN","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SUR","SWE","CHE","SYR","TJK","THA","TTO","ARE","TUN","TUR","UGA","UKR","EGY","GBR","TZA","USA","BFA","URY","VEN","SCG","ZMB","BOL","SLB","CXR","CCK","COK","FJI","GHA","NRU","NCL","VUT","NFK","TON","WSM","CPV","ETH","LAO","LBY","MOZ","MKD","YEM","BHS","BDI","SYC","BLZ","CUB","GRD","SPM","VCT","MNG","BIH","SDN","DJI","ARM","TCD","COM","GNQ","GMB","MRT","GNB","TGO","WLF","MDV","UZB","ERI","GIB","AIA","TKM","GEO","KIR","LBR","FSM","PLW","ABW","NIU","BTN","AFG","CYM","GUY"
"HKG",0,0,4.983,0,0,0,295.883,1693.575,139.879,6.98,7.54,24.948,177.352,1.589,1695.555,0,49.768,65.021,1.421,0,0.517,0,328.858,0,107.421,162.231,18978.219,69.416,0,0,4.246,1.7,52.613,30.179,0,79.113,0,0,5.775,0,0,28.762,2635.972,0,0,7574,31.392,0,2.186,0,0,0,0,28.94,7.45,52.052,0,2.325,5529.794,512.153,0,24.948,3346.169,0,2.956,4.782,115.824,329.571,763.715,0,114.402,25.724,3.898,356.819,21.07,1.551,4289.717,0,4.555,4.375,495.008,0,12.262,0,30.765,18572.999,2.326,163.252,0,0,198.167,114.861,692.23,60.109,19.131,154.099,15.925,3400.006,462.541,1.981,27.404,406.156,830.158,0,0,0,0,0,198.618,0,2.585,128.056,7992.284,21.876,967.441,165.624,1129.244,0,253.901,0,1179.566,268.907,57.524,0,6100.879,0,2616.125,110.057,169.843,24.173,9.307,54.902,1495.011,0,18681.925,0,73.936,3.17,0,0,11.397,0,0,0,0,0,4.782,0,2.326,0,0,0,0,0,0,0,0,0,2.5,2.456,0,0,0,1.432,0,0,0,0,0,0,1.551,0,0,0,0,0,0,69.158,0,1.076,0,0.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0,0,50.261,49.573,0,0,0,271.151,0,610.701,0,0,0,0,0,0,0,0,0,0,0,6.656,0,0,0,0,8.926,0,41.455,0,0,0,0,0,0,0,2.292,0,0,0,207,0,0,0,0,0,0,0,0,0,149.005,0,0.67,25,19.633,0,0,129.052,0,0,0,0,13.6,0,58.699,0,0,0,0,0,0,0,0,0,0,0,0.973,0,0,0,28.787,0,3.311,0,0,0,23.532,0,0,0,0,0,0,40.444,0,0,268.022,25,0,0,0,0,0,0,0,0,0,0,16.191,0,21,0,0,4.169,0,29.671,38.973,0,0,0,0,0,0,0,0,5,0,9,0,8.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,3.808,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.786,0,0,0,0,0,0,0,15.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,5.25,0,0,0,0,1.627,2.48,0,0,0,9.55,0,0,0,0,0,0,0,0,0,12.125,0,0,0,0,0,0,0,0,0,0,0,0,2.696,0,0,0,0,0,0,1098.219,0,0,106,0,0,0,0,0,0,39.788,0,0,0,0,0,0,0,0,0,3.142,0,0,0,0,73.71,0,0,0,0,0,0,0,0,85.924,0,0,0,0,0,0,0,0,90.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.611,0,0,0,39.168,0,518.463,0,0,48.532,0,0,196.147,0,0,0,0,0,0,0,42.269,0,2137.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.007,0,4.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,0,4.095,1491.256,194.549,0,0,0,48.686,0,0.589,0,0,14.503,0,0,0,0,12.843,0,0,0,371.405,0,0,0,53.163,0,89.876,33.077,0,302.772,0,0,0,0,0,144.138,3991.229,0,0,10088.903,52.154,0,0,0,0,0,0,1,1.759,0,0,0,1020,4359.395,0,0,491.404,0,0,0,0,34.914,0,0,0,0,0,0,0,0,38.414,0,0,0,6,0,0,0,0,650.545,0,38.787,0,0,0,78.281,0,0,0,0,0,0,65.064,401.901,0,0,92.629,0,0,0,0,0,0,0,0,0,2.684,0,0,7.614,680.04,0,60.966,0,289.294,875.655,0,0,45.771,0,0,0,208.029,0,0,0,4663.082,0,4997.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,17.971,3329.755,66.701,0,0,0,125.562,1.003,95.741,0,0,0,0,14,0,0,78.391,0,0,29.016,478.809,1004.04,0,0,2.497,23.338,0,84,0,50,0,0,8,0,0,55.732,641.2,0,0,1243,20.239,0,25.108,0,0,0,243.469,90.015,0,0,0,7.715,0,954.734,0,0,310.369,0,0,0,0,338.843,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,1093.818,0,243.793,0,0,9,64.088,0,0,0,12,0,0,58.328,40.801,0,11.616,30,0,0,0,0,0,0,0,0,90.99,306.393,0,0,118.162,518.752,0,233.06,0,534.009,126.158,0,0,3557.043,0,0,0,369.11,0,0,10.73,348.817,0,12588.172,0,54,16.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",90.97,173.403,6.483,17.399,0,0,675.748,768.407,1427.349,35.899,0,0,1082.961,42.131,1625.82,0,96.199,35.259,0,0,0,8.943,587.117,0,7.469,407.348,888.545,230.629,9.885,13.909,9.862,633.503,309.024,613.191,0,379.33,0,0,31.623,0,2.706,504.197,18254.708,3.649,0,97263.854,3551.87,0,1.229,3.639,0,0,2157.614,739.447,5.979,45.466,26.059,335.463,1119,0,4.124,0,778.084,36.289,117.366,13.889,0,1652.416,59.21,0,293.189,15.07,36.177,0,43.561,0,1279.237,0,151.466,89.905,1943.694,2.239,52.344,13.906,0,2174.458,8.169,103.19,2.718,0,10.389,269.14,159.759,0,0,11.813,62.352,20.869,2192.204,983.983,343.12,387.725,547.219,63.05,0,0,16.49,0,502.745,1.219,2.469,614.142,1008.452,50.76,0,491.787,767.576,7.369,4089.884,0,554.587,2905.432,28.72,0,579.967,0,489.679,399.93,2704.812,32.21,14.699,125.46,7840.039,1.384,7678.72,0,82.907,20.639,0,0,1.978,0,0,0,0,0,10.8,0,6.929,0,0,0,0,0,162.878,0,0,0,156.303,4.379,0,12.169,0,0,21.289,3.58,0,0,0,0,13.442,0,0,0,0,0,0,0,0,0,0,0,0,2.36,1.8,1,48.149,0,0,0,0,0,0,0,0,0,0,0
"CIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.145,0,0,0,0,0,0,0,19.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.004,0,0,0,0,0,3.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.341,0,0,117.282,0,0,0,0,0,0,0,0,0,0,20.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",8.478,91.173,118.412,0,0,0,1333.716,24339.871,3955.799,142.69,251.721,148.481,10924.821,7.725,10251.77,0,782.477,40.613,29.041,252.766,21.778,0,15180.79,0,597.488,2221.478,58819.082,763.703,0,0,100.575,184.104,372.972,534.537,0,4649.481,77.31,88.34,69.281,42.714,25.238,38767.73,36258.747,8.532,0,159310.103,521.615,4.989,23.324,43.556,0,2.495,94362.4,1544.189,35.956,7982.85,748.082,1882.649,1240,8361.5,52.764,57.901,0,91.262,149.532,5.802,601.818,70002.776,691.14,16.925,272.891,11.179,29.276,114.19,13.352,0,36020.507,3.039,131.428,97.983,9081.355,0,76.313,667.814,6.313,27985.568,33.638,1850.126,0,21.168,1250.34,1746.104,522.49,5208.322,13.171,192.65,265.71,16696.237,1628.791,782.62,362.821,7,3503.172,0,0,0,13.302,0,3324.742,2.815,0,1838.083,43601.016,223.924,1476.465,41.615,3526.094,4.362,7436.662,0,33369.926,6372.113,59.938,0,41801.553,2.559,7466.848,49.401,1777.491,94.174,58.786,1583.848,45207.436,1831.799,305273.28,0,162.221,81.292,0,233.88,2.996,34.128,0,0,36.645,53.774,9.577,0,8.137,27.26,0,3.615,2.591,0,7.19,13.63,316.171,3.53,22.774,2195.537,44.335,0,10.196,0,120.527,0,0,5.855,102.546,0,5.513,0,0,0,0,0,0,0,0,0,0,11.006,47.769,0,3.167,0,0,10.643,21.631,25.148,3.892,21.223,0,0,0,0,0,0
"KAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.02,0,0,0,0,0,0,0,0,0,0,0,0,17.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.137,0,0,0,0,0,0,0,0,0,0,0,1.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.779,0,0,0,11.045,0,8.489,0,0.57,0,2.465,0,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.028,0,0,0,0,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.327,0,0,0,0,0,0,0,0,0,0,0,0,0.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.851,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,13.368,28.794,0,0,0,476.305,1356.019,155.045,0,9.06,0,351.871,0,5194.82,0,0,6.58,0,7.271,0,0,2815.661,0,18.557,353.59,3527.457,351.126,0,0,26.202,1.146,18791.637,58.325,0,160.482,0,0,308.641,13.874,0,533.58,10156.153,0,0,7524.007,253.619,0,24.491,0,0,0,7094.518,28.336,6.337,505.578,8.155,55.184,1315.299,1090.181,0,0,11418.579,1.55,13.724,3.142,0,0,2.393,0,15.605,0,0,59.752,0,0,1582.38,0,9.1,20.133,318.118,0,139.8,6.016,0,7354.357,0,103.459,0,0,13.508,134.325,17.548,238.643,9.82,322.354,25.039,220.259,189.379,169.033,0,404.609,184.68,0,0,0,0,0,114.093,0,0,81.694,7421.954,35.804,372.981,3.9,1820.578,1.149,1017.367,0,700.712,220.752,24.541,0,2222.4,0,831.743,25.458,225.745,0,0,362.676,1077.827,0,25556.979,0,29.328,46.958,0,0,0,0,0,0,0,15.131,19.725,0,6.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.832,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KWT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,15.253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.399,0,0,0,0,0,0,0.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.877,0,0,0,0,0,0,0,0,0,0,0,0,1.732,0,0,0,0,0,0,0,0.657,4.719,0,0,0,1.914,0,0,0,0,0,0,0,49.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTU",0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.576,0,0,0,0,40.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.199,0,0,0,18.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAC",0,0,0,0,0,0,0,0,0,0,0,0,2.811,0,0,0,0,0,0,0,0,0,0,0,0,0,63.024,0.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.082,0,0,0,0,0,0,0,0,0,80.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.549,0,0,6.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.582,0,13.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MWI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYS",0,0,47.48,0,0,0,52.985,574.336,1441.434,2.684,0,0,4079.405,0,230.178,0,360.173,0,0,0,0,0,2154.537,0,0,12.915,200.979,0,0,0,0,0,3.416,0,0,21.951,0,0,0,0,0,3045.486,8319.239,0,0,10189.378,97.56,0,0,0,0,0,1693.384,4,0,220.196,0,1.828,0,2650.77,3.335,0,10046.266,0,0,0,0,326.143,0,0,0,0,0,0,0,0,0,0,0,69.696,105,0,0,2.749,0,3338.356,0,58.253,0,0,0,93.972,3.215,0,0,0,5.229,67.733,0,394.107,0,33.222,0,0,0,0,0,0,19.581,0,0,36.24,76440.552,0,0,0,808.382,0,1704.579,0,4.5,362.68,0,0,2626.375,0,79.455,22.781,10.142,0,0,0,2458.841,0,4571.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
